data:text/csv;charset=utf-8,
year,occupation_family,occupation_group,average_age,average_wage,wage,jobs,average_establishment_size,color,icon,ID CBO
2003,"Trabalhadores de Alvenaria","Trabalhadores Especializados da Produção",47,605.01,16302048.69,26945,8,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7152"
2003,"Dirigentes de Entidades Patronais e Profissionais","Dirigentes",40,438.96,1021477.11,2327,36,"#752277","/static/img/icons/occupation_group/occupation_group_1.png","1142"
2003,"Contadores","Profissionais das Ciências e das Artes",43,4753.12,47711890.71,10038,4,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2522"
2003,"Analistas de Tecnologia da Informação","Profissionais das Ciências e das Artes",39,3869.36,24237704.37,6264,10,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2124"
2003,"Técnicos em Segurança do Trabalho","Técnicos de Nível Médio",38,1048.38,1741359.87,1661,8,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3516"
2003,"Magarefes","Trabalhadores da Indústria",42,538.4,1604992.1,2981,9,"#FFC41C","/static/img/icons/occupation_group/occupation_group_8.png","8485"
2003,"Outros Trabalhadores dos Serviços Funerários","Trabalhadores de Serviços e Comércio",44,490.84,1386643.82,2825,3,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5166"
2003,"Nutricionistas","Profissionais das Ciências e das Artes",39,1569.35,7716535.15,4917,4,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2237"
2003,"Ajudantes de Obras Civis","Trabalhadores Especializados da Produção",43,448.91,20714896.34,46144,31,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7170"
2003,"Técnicos de Controle da Produção","Técnicos de Nível Médio",42,919.98,1922770.1,2090,13,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3912"
2003,"Projetistas de Construção Civil","Técnicos de Nível Médio",42,1213.96,681033.62,561,2,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3185"
2003,"Trabalhadores de Manutenção de Roçadeiras","Trabalhadores de Manutenção e Reparação",44,770.92,638329.85,828,2,"#581F05","/static/img/icons/occupation_group/occupation_group_9.png","9192"
2003,"Técnicos de TV e Vídeo","Técnicos de Nível Médio",44,884.91,310605.01,351,3,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3732"
2003,"Fisioterapeutas","Profissionais das Ciências e das Artes",35,1430.23,12471683.11,8720,5,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2236"
2003,"Agentes Fiscais","Técnicos de Nível Médio",40,912.07,5380349.02,5899,18,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3523"
2003,"Locutores, Comentaristas e Repórteres","Profissionais das Ciências e das Artes",42,998.63,239672.99,240,2,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2617"
2003,"Trabalhadores da Fabricação de Cerâmica para Construção","Trabalhadores da Indústria",44,666.66,49332.93,74,6,"#FFC41C","/static/img/icons/occupation_group/occupation_group_8.png","8281"
2003,"Trabalhadores de Traçagem de Estruturas Metálicas","Trabalhadores Especializados da Produção",48,937.76,117221.21,125,6,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7242"
2003,"Marceneiros","Trabalhadores Especializados da Produção",46,792.79,970376.85,1224,2,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7711"
2003,"Produtores Artísticos e Culturais","Profissionais das Ciências e das Artes",45,1749.91,346484.13,198,4,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2621"
2003,"Técnicos em Logística de Transportes","Técnicos de Nível Médio",39,997.77,2567262.46,2573,17,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3421"
2003,"Operadores de Instalações de Água","Trabalhadores da Indústria",43,724.35,1304554.98,1801,6,"#FFC41C","/static/img/icons/occupation_group/occupation_group_8.png","8622"
2003,"Astrólogos e Numerólogos","Trabalhadores de Serviços e Comércio",44,1327.46,752670.58,567,12,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5167"
2003,"Técnicos Químicos","Técnicos de Nível Médio",41,1152.01,3027501.21,2628,10,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3111"
2003,"Auxiliares de Laboratório da Saúde","Trabalhadores de Serviços e Comércio",40,739.31,6219819.72,8413,8,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5152"
2003,"Técnicos Ambientais e Efluentes","Técnicos de Nível Médio",39,1374.34,577225.64,420,4,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3115"
2003,"Diretores de Manutenção","Dirigentes",41,778.66,199338.33,256,3,"#752277","/static/img/icons/occupation_group/occupation_group_1.png","1238"
2003,"Instrutores do Ensino Profissional","Profissionais das Ciências e das Artes",39,1119.38,5207368.33,4652,15,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2332"
2003,"Gerentes em Construção","Dirigentes",45,2045.27,1171943.96,573,3,"#752277","/static/img/icons/occupation_group/occupation_group_1.png","1413"
2003,"Técnicos em Edição de Filme e Vídeo","Técnicos de Nível Médio",41,1134.33,23821.03,21,2,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3744"
2003,"Mecânicos de Máquinas Industriais","Trabalhadores de Manutenção e Reparação",48,538.61,3436880.22,6381,12,"#581F05","/static/img/icons/occupation_group/occupation_group_9.png","9113"
2003,"Supervisores da Construção Civil","Trabalhadores Especializados da Produção",44,734.12,4891476.58,6663,6,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7102"
2003,"Escritores","Profissionais das Ciências e das Artes",43,1778.54,393058.42,221,2,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2615"
2003,"Supervisores de Atendimento ao Público","Trabalhadores de Serviços Administrativos",35,1595.68,18829139.8,11800,52,"#B7834B","/static/img/icons/occupation_group/occupation_group_4.png","4201"
2003,"Supervisores de Lavanderia","Trabalhadores de Serviços e Comércio",46,371.64,10034.33,27,2,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5102"
2003,"Supervisores dos Serviços de Segurança","Trabalhadores de Serviços e Comércio",38,774.76,1430224.67,1846,14,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5103"
2003,"Mecânicos de Manutenção Metroferroviária","Trabalhadores de Manutenção e Reparação",48,585.34,953532.85,1629,18,"#581F05","/static/img/icons/occupation_group/occupation_group_9.png","9143"
2003,"Reparadores de Carrocerias de Veículos","Trabalhadores de Manutenção e Reparação",43,722.06,175462.96,243,2,"#581F05","/static/img/icons/occupation_group/occupation_group_9.png","9913"
2003,"Vidraceiros","Trabalhadores Especializados da Produção",40,777.9,63009.96,81,4,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7163"
2003,"Diretores de Espetáculos","Profissionais das Ciências e das Artes",36,869.27,784954.43,903,25,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2622"
2003,"Técnicos em Terapias Alternativas","Técnicos de Nível Médio",40,750.08,177020.09,236,5,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3221"
2003,"Recreadores","Técnicos de Nível Médio",35,623.29,4115007.67,6602,14,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3714"
2003,"Entrevistadores e Recenseadores","Trabalhadores de Serviços Administrativos",38,673.5,513209.38,762,7,"#B7834B","/static/img/icons/occupation_group/occupation_group_4.png","4241"
2003,"Professores de Pedagogia do Ensino Superior","Profissionais das Ciências e das Artes",42,3352.08,39041723.67,11647,41,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2345"
2003,"Professores de Física e Química do Ensino Superior","Profissionais das Ciências e das Artes",43,599.91,329953.59,550,27,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2342"
2003,"Professores de Ciências Biomédicas do Ensino Superior","Profissionais das Ciências e das Artes",45,1247.88,41519552.4,33272,583,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2344"
2003,"Pesquisadores das Ciências Biológicas","Profissionais das Ciências e das Artes",47,3785.46,6378510.93,1685,40,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2030"
2003,"Profissionais do Sexo","Trabalhadores de Serviços e Comércio",43,240.55,51960,216,72,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5198"
2003,"Profissionais de Cultos Religiosos","Profissionais das Ciências e das Artes",38,1054.82,52741.08,50,2,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2631"
2003,"Antropologistas","Profissionais das Ciências e das Artes",47,2348.01,1660046.95,707,2,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2511"
2003,"Pescadores Polivalentes","Trabalhadores Agropecuários, Florestais e da Pesca",42,2361.32,649363.58,275,39,"#105B10","/static/img/icons/occupation_group/occupation_group_6.png","6310"
2003,"Montadores de Instrumentos Musicais","Trabalhadores Especializados da Produção",45,760.1,12921.85,17,1,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7421"
2003,"Legisladores","Dirigentes",44,1677.17,9836615.01,5865,9,"#752277","/static/img/icons/occupation_group/occupation_group_1.png","1111"
